Function Name,Cyclomatic Complexity,First Line,Function Length (lines)
jos_port_sleep,1,void jos_port_sleep(void),5
,13,int baud_from_num (int baud_num),31
sc_capwap_update_lock_is_locked,1,static inline int sc_capwap_update_lock_is_locked(void) { return 1; },1
Unknown,1,int,5
SSP1_IRQHandler,1,void SSP1_IRQHandler(void),3
foo174,1,void foo174() {},1
,1,void BootIRQ_Interrupt (void),4
nrf51_errata_7,1,static bool nrf51_errata_7(void),6
sumDigit,2,static int sumDigit(int n),11
test_PTHREAD_MUTEX_NORMAL,1,"void test_PTHREAD_MUTEX_NORMAL(void) { int dummy = ""PTHREAD_MUTEX_NORMAL""; }",1
void,1,static void,4
strCmp,4,"int strCmp(char *source, char *target) {",9
str_chr,10,"unsigned int str_chr(const char *s,int c)",15
mem_using_count_inc,1,static __inline void mem_using_count_inc(void),4
empty_handler,1,void empty_handler(__attribute__((unused)) int signum),3
big,3,"int big(char *a, char *b)",5
sq,1,static inline double sq(double v),4
_glfwPlatformEnableSystemKeys,1,void _glfwPlatformEnableSystemKeys( void ),5
int,1,unsigned short int,5
phys_to_bus,1,static inline unsigned long phys_to_bus(unsigned long phys),4
quotient,1,"int quotient(int a, int b){",3
isdelim,6,int isdelim(char c),6
ccuEvent0,1,"unsigned int ccuEvent0(unsigned int is, unsigned int em, unsigned int lm,",5
,1,void __attribute__ ((destructor)),5
,3,static int digit (int j) { if (j>='0' && j<='9') return(1); else return(0); },1
hex_to_int,3,int hex_to_int(char c) {,9
modc_load_plugin,1,int modc_load_plugin(char *path),4
median6,4,"float median6(float yy,float kaa, float koo, float nee, float vii, float kuu)",18
Msp430AlarmC__1__Msp430Timer__overflow,1,static inline void Msp430AlarmC__1__Msp430Timer__overflow(void ),3
route_state,5,static inline char * route_state(int state),15
Unknown,1,int,7
do_756,1,int do_756() { return 756; },1
,2,void USBFS_SOF_ISR (void),9
f3,1,void f3(int a[1]),4
htoi,8,int htoi(char* src),13
setup_endstop_interrupts,1,void setup_endstop_interrupts(void) {,3
test4_TestExports_pollen__run__E,1,void test4_TestExports_pollen__run__E() {,2
Check,3,"int Check(int * array1, int * array2, int length){",10
bool,4,static bool,7
gpio_owire_active,1,void gpio_owire_active(void) {},1
pop_cbr,1,void pop_cbr(int ctx),3
str2fourcc,1,unsigned int str2fourcc(char buf[4]),4
octdigitp,9,static int octdigitp(int c),11
ft_isprint,3,int ft_isprint(int c),4
f2,1,void f2() {,6
*get_api_key,1,char *get_api_key(){,3
,1,int test1 (const char *p),4
g6,1,void g6() {},1
int,2,static int,12
read_current,1,int read_current() {,3
double_max,2,"double double_max(double arg1,double arg2)",4
fact1,2,int fact1(int n) {,6
char_from_index,4,static char char_from_index(size_t k),13
Unknown,65,int,107
Unknown,1,double,5
int,1,unsigned short int,5
venc_uninit_platform_driver,1,static inline void venc_uninit_platform_driver(void),3
encryption_destroy,1,void encryption_destroy(void) { },1
addMoreInts,1,"inline int addMoreInts(int a, int b) {",3
negation_in_conditional,2,int negation_in_conditional() {,5
int,4,static int,5
isdesc,3,"inline int isdesc(const int *a,int n){register int i;for(i=0;i<n-1;i++){if(*a<*(a+i))return 0;}return 1;}",1
unified_sockets__listen,2,int unified_sockets__listen(int _sd),16
Unknown,1,int,5
close,1,int close(int fd),9
foo722,1,void foo722(int p) {},1
z,1,void z(int i) {},1
Unknown,1,int,4
print_buffer,1,"void print_buffer(const char *buffer, int size)",6
,1,double foo (double a) { return a; },1
aaip_get_acl_text,1,"int aaip_get_acl_text(char *path, char **text, int flag)",4
debug_dummy,1,static inline void debug_dummy(void) {},1
hiddenfunc,2,int hiddenfunc(int i),7
_sub_cost_1,2,"static float _sub_cost_1(const char * str1, const int str1_idx, const char *str2, const int str2_idx) {",8
Hash_Key,2,"unsigned int Hash_Key(const char *name, unsigned int modulus)",8
PassUShort,1,extern unsigned short PassUShort(unsigned short *sht) {,3
main,1,void main(),4
time_delay,1,void time_delay(int ms){,3
do_922,1,int do_922() { return 922; },1
eyetest,4,char eyetest(double sight) {,11
fa_kaiser_cof_num,2,"int fa_kaiser_cof_num(float ftrans, float atten)",11
test_cwd,8,void test_cwd(int x),13
functionCalled,1,int functionCalled(void),5
VIDDummyInit,1,int VIDDummyInit(void),4
,1,static __inline__ void fill_prefetch_0 (void),4
,1,double v_double_func () { return (0.0); },1
,1,double test (double x),6
tilt_init,1,void tilt_init(void),3
field_size_valid,3,int field_size_valid(int deg),4
literal_pool,1,void literal_pool(int n) {},1
fb_hPostEvent_code_end,1,void fb_hPostEvent_code_end(void) { },1
rk29_sdmmc_gpio_open,4,"void rk29_sdmmc_gpio_open(int device_id, int on)",23
int,1,unsigned int,5
initialise_occi_sql,1,"int initialise_occi_sql( char * databasename, char * username, char * password )",4
,1,void INT_TM04 (void) { },1
roundup,2,"static inline size_t roundup(size_t num, size_t modulus) {",6
foo575,1,void foo575(int p) {},1
isvalid_date,18,"int isvalid_date(int year, int month, int day) {",14
inc_node_version,1,static inline unsigned char inc_node_version(unsigned char version),4
,1,"static int smf_prog_change (int fd, char channel, char prog)",14
string_char_count,4,"static int string_char_count(char* str, char c) {",14
zterp_os_init_term,1,void zterp_os_init_term(void),3
EnableRTC1HZ,1,void EnableRTC1HZ(void),3
islower,2,static inline int islower(int c),4
intercambio,1,"void intercambio(int x, int y)",6
crazyflie_step,1,void crazyflie_step(void),4
__attribute__,1,"__attribute__((visibility(""default""))) void compiler_inscount(void) { }",1
binsearch_fast,4,"int binsearch_fast(int x, int v[], int n)",17
IntToBcd11,2,"int IntToBcd11(int aa,char xx[])",8
wrenIsLocalName,2,static inline bool wrenIsLocalName(const char* name),4
measure_scr_init,1,void measure_scr_init(void){,3
simd_get_supported_features,1,int simd_get_supported_features(void),6
main,1,int main(void),8
main,1,int main(void),4
SimpleNum,4,"int SimpleNum(int a, int b)",9
close_async_thread_pool,1,int close_async_thread_pool(){,3
int,9,static int,24
func,1,"int func(int a_def, int b_def) { return a_def+b_def; }",1
foo681,1,void foo681(int p) {},1
memoized_cut_rod_aux,5,"int memoized_cut_rod_aux(int *p, int n, int *r)",15
bar_duang,1,void bar_duang(void),6
,1,void fa148 (int n) { { int b[n]; { int c[n]; 0;} { int d[n]; 0;} ; int e[n]; 0;}; { int f[n]; goto a; { int g[n]; 0;}; { int h[n]; 0;}; a:; int i[n]; 0;}; ; int j[n]; 0; },1
fpga_mgr_debugfs_init,1,void fpga_mgr_debugfs_init(void) {},1
,2,static inline char do_getch (void),12
add_nop_lct_he,1,int add_nop_lct_he(void) {,5
init_timestamp,1,void init_timestamp(void),3
reverse,2,int reverse(int num),13
llvm_dummy,1,static void llvm_dummy() {,3
do_791,1,int do_791() { return 791; },1
i_zero,2,static double i_zero(double x),20
int,3,static inline int,8
__inline__,4,static __inline__,11
UT16_DIV_OVFCHK,1,"static inline bool UT16_DIV_OVFCHK(unsigned short a, unsigned short b) { (void)(a); return !b; }",1
INT_Excep_TMR3_CMI3B,1,void INT_Excep_TMR3_CMI3B(void){ },1
fact,2,int fact(int x){,6
,1,int main () {,8
compress,1,int compress(),4
menu_font_heigth,2,unsigned char menu_font_heigth(unsigned char font) {,5
do_046,1,int do_046() { return 46; },1
addon_sms_command,1,"void addon_sms_command(char *cmd, char *arg, const char *phone) {",3
ser_hex2char,26,char ser_hex2char(char * s),45
FBasesPolN,12,int FBasesPolN(int b){,17
do_324,1,int do_324() { return 324; },1
espcomm_delay_ms,1,void espcomm_delay_ms(int ms),4
trailingZeroes,2,int trailingZeroes(int n) {,14
binsearch,4,"int binsearch(int x, int v[], int n)",18
test5,4,int test5(unsigned int x) {,6
strlen,2,static inline size_t strlen(const char *str) {,7
PS_NullCoordHMirror,1,static void PS_NullCoordHMirror(void),2
mpc_boundary_newline_anchor,1,"static int mpc_boundary_newline_anchor(char prev, char next) {",4
staticFn,1,int staticFn() {,5
bm_rgb,1,"unsigned int bm_rgb(unsigned char R, unsigned char G, unsigned char B) {",7
c_pomp_init_nest_lock_,1,void c_pomp_init_nest_lock_(omp_nest_lock_t *s) { (void) 0; },1
Unknown,1,int,5
do_880,1,int do_880() { return 880; },1
Unknown,1,int,5
strzcmp,5,"static inline int strzcmp(const char* s1,const char* s2) {",7
barrier,1,static inline void barrier(void) {},1
speed,1,"double speed(double V,double t){",3
BsdFragHashReset,1,void BsdFragHashReset(void),5
,1,long foo (void) { return 0; },1
getFrequencyFromChannel,3,int getFrequencyFromChannel(int channel),22
shmobile_cpufreq_init,1,static inline int shmobile_cpufreq_init(void) { return 0; },1
_isinstr,3,"static int _isinstr(const char c, const char *str)",9
c_getpgrp_,1,pid_t c_getpgrp_(){,3
brojnaCifrivoBroj,2,"int brojnaCifrivoBroj(int n, int c)",12
testInsertionOfTheVertexInGraph,1,void testInsertionOfTheVertexInGraph() {,3
pm_debug_save_ahb_glb_regs,1,void pm_debug_save_ahb_glb_regs(void){},1
getQuad,9,"int getQuad(int i, int j) {",27
promedio,1,"double promedio(double a, double b) {",3
SWI_Routine,1,void SWI_Routine(){},1
QuarticEaseInOut,2,double QuarticEaseInOut(double p),12
map_update,1,static void map_update(void),4
foo805,1,void foo805(int p) {},1
umask_f_,1,void umask_f_(void),6
function,9,"int function(int x, int y)",23
foo178,1,void foo178() {},1
CleanupIoctlInterface,1,int CleanupIoctlInterface(int fd),4
determ,1,"double determ(double a11, double a12, double a21, double a22) {",3
mapVal,1,"double mapVal(double x, double in_min, double in_max, double out_min, double out_max)",4
getByte,1,"int getByte(int x, int n) {",5
foo264,1,void foo264(int p) {},1
,2,int hashfunction (const char* name),12
isBlack,1,char isBlack(char pieceId),4
i,1,void i(void) { },1
scsi_is_wlun,1,static inline int scsi_is_wlun(unsigned int lun),4
__attribute__,1,void __attribute__((hot)) external_hot_function() {,2
c,1,int c(int i),4
neko_free_jit,1,void neko_free_jit() {,2
bar,1,static inline int bar(int n) {,3
Clamp,2,"static float Clamp(int iters_left, float t)",7
ptrace_event_proot,1,void ptrace_event_proot(int event),4
Similarity,5,"double Similarity(const double *x, const double *y, int len)",16
loBits,1,unsigned long loBits(unsigned long u){ return u & 0x7fffffffUL; },1
foo,1,"int foo(int *x,int *y)",4
sum,1,"int sum(int num1, int num2) {",3
ReleaseInput,1,int ReleaseInput(int handle),4
,1,float cos_core (float x),11
total,2,"double total(double mass, int count) {",6
djb2hash,2,static unsigned long djb2hash(const char * str) {,10
foo130,1,void foo130(int p) {},1
has7,4,int has7(int num),7
main,1,int main(void) {,4
void,1,static void,5
main,1,int main(void) {,5
tolower,3,int tolower(int c),4
writeUDPPacket,1,"int writeUDPPacket(char *buf, int nbuf) {",3
searchInsert,3,"static int searchInsert(int* nums, int numsSize, int target)",14
cmd_quit,1,static int cmd_quit(char *args),4
_cnt,1,"static int _cnt(int head, int tail, int size)",4
foo273,1,void foo273() {},1
smp_find_processor_id,1,static inline int smp_find_processor_id(int address) { return 0; },1
socket_set_ttl,2,"static int socket_set_ttl(int sock, int ttl) {",5
abc4defghijklmnopqrstuvwxzy,1,void abc4defghijklmnopqrstuvwxzy() {},1
NaClWriteMemoryBarrier,1,static __inline__ void NaClWriteMemoryBarrier(void) {,8
gradcdac_ADC_isOngoing,1,static int __inline__ gradcdac_ADC_isOngoing(unsigned int status),4
Square,1,float Square(float x) { return x*x; },1
foo640,1,void foo640(int p) {},1
mix,1,"unsigned long mix(unsigned long a, unsigned long b, unsigned long c)",14
au_br_fhsm,1,static __inline__ int au_br_fhsm(int brperm),4
foo,1,int foo(),4
a2i,7,static int a2i(char *s),23
approx_sun_transit_time,1,"double approx_sun_transit_time(double alpha_zero, float longitude, double nu)",4
ispunct,9,int ispunct(int c) {,7
dos2unix,4,void dos2unix(char *source) {,11
osalSysUnlock,1,static inline void osalSysUnlock(void) {,3
wait,1,"static inline int wait() { int retval; __asm__ (""int $0x80      \n\t"" ""mov %%eax, %0"":""=m""(retval):""a""(8):""memory""); return retval; }",1
I2C_SET_BUS,2,static inline void I2C_SET_BUS(unsigned int bus),5
test7,1,void test7(char* c),5
NeedCarrierFrequency,1,int NeedCarrierFrequency(void),4
foo432,1,void foo432() {},1
check_logfs_segment_header,1,static inline void check_logfs_segment_header(void) { ; },1
invalid_vm86_irq,2,static inline int invalid_vm86_irq(int irq),4
scm_mpu_unlock_kernel_text,1,static inline void scm_mpu_unlock_kernel_text(void) {},1
INT_Excep_TPU2_TCI2U,1,void INT_Excep_TPU2_TCI2U(void){ },1
cofs,4,"int cofs(char *s,char c){",7
int,1,unsigned short int,5
__attribute__,1,extern inline __attribute__((always_inline)),5
DaylightSavingTA,1,static double DaylightSavingTA(double t),4
upload_progress_callback_dummy,1,static void upload_progress_callback_dummy( int aLoaded ) {},1
ex1,1,void ex1(){,3
hdmi_force_init,1,void hdmi_force_init(void),4
test1,1,"int test1(float a, int b) {",3
int,1,unsigned short int,5
int,3,static int,10
Unknown,1,__attribute__((no_sanitize_undefined)),7
mydown_donothing,1,void mydown_donothing(void) {},1
manage_stmt_error,1,void manage_stmt_error() {,3
interpol_linear,1,"float interpol_linear(float x0, float x1, float y0, float y1, float x)",4
do_898,1,int do_898() { return 898; },1
,2,"int ModuloAdd (int f, int k)",8
,1,inline unsigned short makeGrey (unsigned short int r) {,3
parity,1,static inline int parity(unsigned int x),11
pow2_float,1,static __inline float pow2_float(float val) { return val*val; },1
uasm_rel_higher,1,static int uasm_rel_higher(long val),8
_lseek,1,"int _lseek(int fd, int whence, int off)",4
is_ivo_ok,2,"static int is_ivo_ok(int ivo, unsigned long vsc)",13
g,1,void g(),7
test_builtin_labs,2,void test_builtin_labs(long x) { if (__builtin_labs(x) != __builtin_labs(x)) link_failure_builtin_labs(); },1
wshape,1,"float wshape(float x, double *f, int len)",14
,1,void os_wait_sample (void),6
hammingDistance,4,"int hammingDistance(int x, int y)",13
look_ast,1,void look_ast(){,3
void,11,static void,38
arithmetic,3,"int arithmetic(int len, int* arr)",9
oauth_b64_decode,8,unsigned char oauth_b64_decode(char c) {,7
wcnss_get_serial_number,1,static inline unsigned int wcnss_get_serial_number(void),4
homekit_mdns_configure_init,1,"void homekit_mdns_configure_init(const char *instance_name, int port) {",2
f,1,void f(void),8
main,2,int main() {,14
input_map_a3,2,int input_map_a3(char c),5
ft_count_label_byte,3,"static int ft_count_label_byte(char *prog, char s, int i)",12
,3,int num_primo (int n) {,10
single_F,1,void single_F(),6
strcmp,3,"int strcmp(const char *s, const char *t) {",10
func5,1,void func5() {,3
nrf51_errata_68,1,static bool nrf51_errata_68(void),6
euler,2,"double euler(double *h, double *Delta) {",31
foo,1,static void foo(void),4
re_mul_f,1,"float re_mul_f(float re1,float im1, float re2,float im2){",3
int,1,unsigned int,5
hiBit,1,unsigned long hiBit(unsigned long u) { return u & 0x80000000UL; },1
berechne_anfangs_tilgung,1,"double berechne_anfangs_tilgung(double tilgungsrate, double kredit)",5
rom_init,1,void rom_init() {,3
f_3x,1,int f_3x(void) { return 3; },1
setecho,4,"int setecho(int fd, int onoff) {",17
SDCard_SaveConfig,1,void SDCard_SaveConfig(void),4
input1_simple_loop,2,int input1_simple_loop(),10
int,3,static int,5
quit_server,1,int quit_server(void),4
*mg_version,1,const char *mg_version(void) {,3
os_closesocket,1,static void os_closesocket(int sock) {,3
is_len_2,4,static inline int is_len_2(const char *alpha2),8
squareRoot,4,int squareRoot(int val),22
nrf51_errata_60,1,static bool nrf51_errata_60(void),6
abs,2,static inline int abs(int n),4
getuint,1,unsigned int getuint(unsigned int x),8
,1,"void out_long (char *c, long l)",7
board_init,1,static void board_init(void) {,3
should_run_polling_action,1,"int should_run_polling_action(int period_ms, int* last_updated_time) { return 0; }",1
FfbSin,1,float FfbSin(float angle),5
foo113,1,void foo113() {},1
,1,"__attribute__ ((always_inline, noinline))",6
main,1,int main(),5
date2sec,2,"static unsigned long date2sec(int year, int mon, int day,",11
decode_verify,1,static int decode_verify(void),5
,23,static int hexval (int c){,27
nseel_asm_and_op_end,1,void nseel_asm_and_op_end(void) {},1
ft_isalpha,5,int ft_isalpha(int c),9
delay_ms,2,void delay_ms(unsigned short ns),8
foo766,1,void foo766(int p) {},1
any,5,"int any(char s[], char b[])",16
config_csr_alignment_read,1,static inline int config_csr_alignment_read(void) {,3
isSameDropSet,7,"int isSameDropSet(int* a, int* b) {",23
file_valid,2,int file_valid(char *path),9
mini_crt_init_io,1,long mini_crt_init_io(),4
main,1,int main(void),5
foo612,1,void foo612() {},1
gcd,2,"static int gcd(int a, int b)",7
_nextpow2,1,static size_t _nextpow2(int x),10
strncasecmp_fast,8,"static int strncasecmp_fast(const char * dst, const char * src, int n)",11
get_debugreg,7,static inline unsigned long get_debugreg(int regno),28
label_get_socket_label_from_exe,1,"int label_get_socket_label_from_exe(const char *exe, char **label) {",6
foo249,1,void foo249() {},1
term_install,1,void term_install() {,2
multiply,1,"double multiply( double a, double b)",4
difftime,1,"double difftime(time_t time1, time_t time0)",4
foo392,1,void foo392() {},1
langRomTypeNationalSram,1,"char* langRomTypeNationalSram() { return ""National (SRAM)""; }",1
test_PTHREAD_SCOPE_SYSTEM,1,"void test_PTHREAD_SCOPE_SYSTEM(void) { int dummy = ""PTHREAD_SCOPE_SYSTEM""; }",1
nrf52_errata_204,1,static bool nrf52_errata_204(void),6
Unknown,3,bool_t,26
isPow2,1,static inline int isPow2(unsigned int x) {,3
test_bit,1,"static inline int test_bit(int nr, const volatile unsigned long *addr)",4
Unknown,3,double,9
Unknown,2,size_t,6
is_enemy,6,int is_enemy(int obj_type) {,14
preenche_matriz_um_e_zero,4,void preenche_matriz_um_e_zero(int mat[20][20]),14
TIM5_IRQHandler,1,void TIM5_IRQHandler(void),3
cwirc_sem_inc,2,"int cwirc_sem_inc(int semid,int semnum)",12
brcm_pm_enet_remove,1,static inline void brcm_pm_enet_remove(void) { },1
CounterToLocalTimeC__1__Counter__overflow,1,static inline void CounterToLocalTimeC__1__Counter__overflow(void ),3
wycc_type_dealias,9,int wycc_type_dealias(int typ) {,28
ScaleColor8to6,1,static inline unsigned int ScaleColor8to6(const unsigned char color),4
nullPointer_epoll_ctl,1,"int nullPointer_epoll_ctl(int epfd, int op, int fd, struct epoll_event *event)",12
Unknown,3,size_t,12
HelpItem21,1,int HelpItem21( void ),4
langRomTypeZenima126,1,"char* langRomTypeZenima126() { return ""Zenima 126 in 1""; }",1
cmp,3,"int cmp(int a, int b) {",9
foo021,1,void foo021(int p) {},1
hex2int,7,static int hex2int(char c),10
*stress_session_error,7,static char *stress_session_error(int err),20
util_cmp_substr,4,"int util_cmp_substr(char *str1, char *str2)",11
void,1,static void,5
DIGI_Enable,1,void DIGI_Enable(),3
HexChar,1,char HexChar(char ch),4
unlink,1,void unlink(char *ofname),3
_submask_testmaskc,3,int _submask_testmaskc(int maskc),10
lookup_zone,1,int lookup_zone(char *qname){,5
path_033_expected_2,2,int path_033_expected_2(int y) {,10
delete_comments,2,void delete_comments(char *buff),9
gettid,1,static inline int gettid(void),4
__attribute__,1,"__attribute__((const)) static inline int makecol15(int r, int g, int b)",4
_video_to_bits,3,unsigned long _video_to_bits(char count) {,10
do_416,1,int do_416() { return 416; },1
set_sta_disallow_tkip,1,"int set_sta_disallow_tkip(int radio, int disallow)",4
Unknown,2,pid_t,9
genni,1,void genni(),6
int,2,static inline int,5
errorHandler,1,"static int errorHandler(Display * dpy, XErrorEvent * err)",9
DeviceName,1,const char* DeviceName() {,3
check_char,1,char check_char(char x){return x;},1
shim_sched_yield,1,int shim_sched_yield(void),8
fd_set_nonblock,3,static inline int fd_set_nonblock(int fd),14
ffi_test_31,1,"int ffi_test_31(int x0, int x1, int x2, int x3, int x4, int x5, int x6, int x7,",11
Factorial,2,static inline double Factorial(int n),8
ptlc_bcrypt_dispose,1,void ptlc_bcrypt_dispose(),3
main,3,int main() {,9
timerfd_create,1,"int timerfd_create(int clockid, int flags)",4
foo707,1,void foo707() {},1
INC_T,2,static inline int INC_T(int a),4
,2,"unsigned char rotate ( unsigned char b, int i )",16
conn_socket_close,1,void conn_socket_close(int sockfd),4
main,2,int main(void),15
Unknown,1,void,4
function,1,int function(),4
add1,1,int add1(int a) { return a + 1; },1
foo089,1,void foo089() {},1
TermDebug,1,void TermDebug(void),4
lxc_af_unix_close,3,int lxc_af_unix_close(int fd),13
lsh_overflow,1,"int lsh_overflow(int a, int b) {",4
foo601,1,void foo601() {},1
isBridgedBy9,3,"int isBridgedBy9(char *s, int p1, int p2)",11
choords_to_field,1,"int choords_to_field(int col, int row)",4
tobcd,1,unsigned char tobcd(int input),18
initcolor,1,static void initcolor(void),4
__attribute__,1,static void __attribute__((used)),3
c1,2,"double c1(float x, unsigned short y, int z)",4
imax,2,"static inline int imax(int x, int y) {",3
DoCodeNop,1,static inline void DoCodeNop(void),4
langRomTypeKonami,1,"char* langRomTypeKonami() { return ""Konami""; }",1
gcd,8,"int gcd(int a,int b) {",36
nrf52_errata_94,1,static bool nrf52_errata_94(void),6
foo560,1,void foo560(int p) {},1
wproc_reap,1,"void wproc_reap(int jobs, int msecs) {}",1
do_435,1,int do_435() { return 435; },1
int*,1,volatile int*,6
VIDDummyVdp2DrawStart,1,void VIDDummyVdp2DrawStart(void),3
hoursSpent,1,double hoursSpent(void),4
is_leap_year,2,bool is_leap_year(int yy),11
imx5_pm_init,1,static inline void imx5_pm_init(void) {},1
do_444,1,int do_444() { return 444; },1
integral_ff,193,"double integral_ff(int i, int j,",482
kexec_crash_save_cpu,1,static inline void kexec_crash_save_cpu(void) {},1
,1,void fa56 (int n) { { int b[n]; { int c[n]; 0;} goto a; { int d[n]; 0;} a:; int e[n]; 0;}; { int f[n]; { int g[n]; 0;}; { int h[n]; 0;}; ; int i[n]; 0;}; ; int j[n]; 0; },1
left_index,1,int left_index(int x),4
driveForward,1,void driveForward(int speed) {,3
setbits,1,"int setbits(unsigned int x, unsigned int p, unsigned int n, int y) {",6
proba_uni,1,"double proba_uni(double w, int card)",4
identity,1,int identity(int x) {,3
palm27x_ac97_init,1,"static inline void palm27x_ac97_init(int minv, int maxv, int jack, int reset) {}",1
splitbank_closestPowerOfTwo,3,int splitbank_closestPowerOfTwo(int p){,9
Unknown,1,td_err_e,6
Unknown,1,int,5
,1,float sq_perimeter_sperimeter (float semiperimeter),5
hash_djb2_l,2,unsigned long hash_djb2_l(const char* str) {,9
CLibraryFunction,1,int CLibraryFunction(),4
Queue,5,int Queue(int t1),11
isOctalDigit,9,static inline int isOctalDigit(char d) {,18
str_cmp,5,"int str_cmp(const char *str1, const char *str2) {",7
do_417,1,int do_417() { return 417; },1
hash_close,1,int hash_close(int handle),4
svs_size_code,6,static inline unsigned char svs_size_code(int w),15
p,2,"unsigned long p(unsigned long n, unsigned long d) {",9
foo066,1,void foo066() {},1
main,1,int main(),8
jfabs,1,double jfabs(double x),9
comparar,3,"int comparar(int * a, int * b){",13
,1,void ADC0_ISR (void),4
function,1,int function(void),4
Concat_Description,1,static const char* Concat_Description(void) {,6
is_sep,1,static inline int is_sep(char c) {,3
,1,float sq_area_perimeter (float perimeter),5
main,2,void main() {,4
foo050,1,void foo050() {},1
main,18,int main(),41
max,2,"double max(double a, double b) { return a > b ? a : b; }",1
rtc_cmos_read,1,unsigned char rtc_cmos_read(unsigned char addr),3
Unknown,1,int,5
,1,void INT_P6 (void) { },1
foo258,1,void foo258() {},1
outer_lock_all,1,static inline void outer_lock_all(void) { },1
beep,1,"void beep(int buz, float microsec)",6
main,1,int main(void),7
syscall_monitor_write,1,"int syscall_monitor_write(const char * p1) { int a; asm volatile (""int $0x80"" : ""=a"" (a) : ""0"" (0), ""b"" ((int) p1)); return a; }",1
report_magics_aux,7,static int report_magics_aux(int dur),31
init,2,void init(int bucket[512*4]),7
SHAREMIND_MAP_KEY_EQUALS_unsigned_short,1,"inline bool SHAREMIND_MAP_KEY_EQUALS_unsigned_short(unsigned short const k1, unsigned short const k2) { return k1 == k2; }",1
foo210,1,void foo210() {},1
size_t,3,static inline size_t,9
isPrime,4,"int isPrime(int num, int divisor)",14
sq,1,static float sq(float x) { return x*x; },1
__attribute__,1,"__attribute__((weak)) int fcntl (int fd, int cmd, long arg)",7
combine_bumper_vector,1,"static long combine_bumper_vector(unsigned char b1,",9
Unknown,1,int,7
calc_length,3,static int calc_length(long n) {,11
char*,1,const char*,36
inHg2mmHg,2,float inHg2mmHg(float inHg){,4
ft_tolower,3,int ft_tolower(char c),4
int,5,static int,8
,1,"int fcntl (int fd, int cmd, long arg)",7
F,2,"int F(int x, int n)",5
shl_closep,2,static inline void shl_closep(int *p),5
op_code_normal_case0x6D,1,inline void op_code_normal_case0x6D(void) { },1
GetRecordSeq,1,static int GetRecordSeq(const char* msg),8
gart_iommu_hole_init,1,static inline void gart_iommu_hole_init(void),3
acpi_madt_oem_check,1,"static inline void acpi_madt_oem_check(char *oem_id, char *oem_table_id)",3
Unknown,1,int,5
_Power,4,"double _Power(double a, int n)",18
nrf53_errata_70,1,static bool nrf53_errata_70(void),6
Unknown,1,int,5
main,2,int main(void),8
trim,7,static void trim( char *str ),23
close_socket,1,void close_socket(int socket) {,7
,1,double sin (double x),9
fb_ConsoleIsRedirected,1,int fb_ConsoleIsRedirected( int is_input ),4
void,1,static inline void,5
ConditionTrue,1,static bool ConditionTrue(void),4
mmuExit,1,void mmuExit(void) {,2
aFunctionWithDeclaration,1,void aFunctionWithDeclaration(){},1
int,4,static int,11
start_ftrace_syscalls,1,static inline void start_ftrace_syscalls(void) { },1
memShmUnmap,1,"static int memShmUnmap(sqlite3_file *pFile, int deleteFlag){",3
uniquePaths,8,"int uniquePaths(int m, int n)",29
AIC,1,"double AIC( const double lk, const int k ){",3
my_strcmp,3,"static int my_strcmp(const char *a, const char *b) {",9
nrf52_errata_27,1,static bool nrf52_errata_27(void),6
__attribute__,1,int __attribute__((regparm(2))),5
e2a,37,unsigned char e2a(unsigned char x),78
usbCableDetectDeinit,1,void usbCableDetectDeinit(void),9
Unknown,1,int,5
f,1,void f(),18
foo525,1,void foo525() {},1
SetNonBlock,1,void SetNonBlock(int fd),5
ubi_dbg_dump_stack,1,static inline void ubi_dbg_dump_stack(void) { return; },1
debugpins_slot_clr,1,void debugpins_slot_clr() {,2
port_disable,1,static inline void port_disable(void) {,3
,1,int callee4 (void),10
Unknown,1,void,5
sleep,2,void sleep(int count) {,4
*lsm_name,1,"static inline const char *lsm_name(void) { return ""none""; }",1
strlen,2,int strlen(const char* a) {,5
*skip_white,3,char *skip_white( char *ptr ){,6
char,7,unsigned char,12
close_oldrelayfs,1,inline void close_oldrelayfs(int detach) {},1
do_148,1,int do_148() { return 148; },1
nibbleToChar,2,static inline int nibbleToChar( int n ),4
_mpy32,1,"static inline int _mpy32(int src1, int src2)",4
do_225,1,int do_225() { return 225; },1
MP_lichtschranke,1,static int MP_lichtschranke(int VV_device),6
f,1,const void f(),3
Unknown,1,double,6
ide_handler,1,static void ide_handler(),4
_std_managed_heap_init,1,inline void _std_managed_heap_init(){,3
assertDeepEqual,3,"int assertDeepEqual(int * actual, int * expected, int length)",12
litToVar,1,inline int litToVar(int lit){,3
__attribute,1,"int __attribute((annotate(""foo""))) foo(void) { return 0; }",1
int_ycb_to_b,3,"static unsigned char int_ycb_to_b(unsigned char y, unsigned char cb)",17
free_mem,1,int free_mem(int pid),4
chdir,1,int chdir(const char* path),7
short,4,static __inline__ unsigned short,14
hash,3,long hash(char *word),14
*,1,char *,10
min,2,"size_t min(size_t a, size_t b) {",4
kgsl_get_alloc_size,1,static inline unsigned int kgsl_get_alloc_size(__attribute__((unused))int detailed),4
xive_flush_interrupt,1,static inline void xive_flush_interrupt(void) { },1
find_position,6,"int find_position(int mat[][20], int i, int j)",8
Unknown,1,int,5
get_ipc_path_max_len,1,int get_ipc_path_max_len(void) {,3
